,best
adjunct_island,0.958
adv_order,0.729
wh_vs_that_with_gap,0.309
anaphor_gender_agreement,0.539
anaphor_number_agreement,0.771
recursion_pp_verb_long,0.391
center_embedding_double_1,0.415
recursion_pp_verb_medium,0.501
center_embedding_double_2,0.962
recursion_pp_verb_short,0.7
center_embedding_single_1,0.387
subj_aux_vary_verb_rc,0.402
center_embedding_single_2,0.975
complex_np_island,0.633
recursion_poss_transitive_medium,0.664
coordinate_structure_constrain_object_extraction,0.45
subj_aux_vary_verb_pp,0.385
determiner_noun_agreement_1,0.799
subj_verb_vary_verb,0.769
determiner_noun_agreement_2,0.886
svo_vos,0.899
determiner_noun_agreement_adj_1,0.636
swapped_ditransitive_1,0.716
determiner_noun_agreement_adj_2,0.734
ellipsis,0.558
green_ideas,0.299
intransitive,0.642
recursion_poss_transitive_short,0.933
left_branch_island_simple_question,0.479
recursion_pp_is_long,0.299
matrix_question_npi_licensor_present,0.022
npi_present,0.353
swapped_ditransitive_2,0.761
only_npi_licensor_present,1.0
only_npi_scope,0.983
pp_order,0.812
principle_A_c_command,0.539
principle_A_domain_1,1.0
principle_A_domain_2,0.49
principle_A_domain_3,0.465
transitive,0.894
recursion_intensifier_adj_long,1.0
wh_island,0.754
recursion_intensifier_adj_medium,1.0
wh_questions_object_gap,0.226
recursion_intensifier_adj_short,1.0
wh_vs_that_with_gap_long_distance,0.244
recursion_intensifier_adv_long,0.0
wh_questions_object_gap_long_distance,0.275
recursion_intensifier_adv_medium,0.0
wh_questions_subject_gap,0.836
recursion_intensifier_adv_short,0.0
wh_questions_subject_gap_long_distance,0.777
recursion_poss_ditransitive_long,0.843
recursion_pp_is_medium,0.111
recursion_poss_ditransitive_medium,0.829
recursion_pp_is_short,0.347
recursion_poss_ditransitive_short,0.818
wh_vs_that_no_gap,0.934
recursion_poss_transitive_long,0.518
subj_aux_agreement_question_vary_subj,0.528
sentential_negation_npi_licensor_present,0.482
wh_vs_that_no_gap_long_distance,0.896
sentential_negation_npi_scope,0.461
subj_aux_vary_subj,0.795
subj_aux_agreement_question_vary_aux,0.665
subj_aux_vary_verb,0.973
