,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 4.105401992797852), (1, 3.7397502263387046)]","[(0, 5.266379038492839), (1, 4.972546259562175)]","[(0, 5.515895366668701), (1, 5.508283615112305)]","[(0, 5.8458251953125), (1, 5.5525360107421875)]","[(0, 3.864900588989258), (1, 3.562893549601237)]","[(0, 3.7557647705078123), (1, 2.5296058654785156)]","[(0, 6.038730621337891), (1, 5.72638168334961)]","[(0, 5.874874750773112), (1, 3.954639116923014)]","[(0, 6.957700456891741), (1, 6.341602325439453)]","[(0, 6.81675910949707), (1, 6.510909080505371)]","[(0, 6.957135200500488), (1, 7.432761192321777)]","[(0, 6.774855477469308), (1, 5.751861572265625)]","[(0, 7.676974487304688), (1, 7.845887756347656)]","[(0, 6.212609100341797), (1, 5.9551551818847654)]","[(0, 6.681173960367839), (1, 6.116820441351996)]","[(0, 5.628984832763672), (1, 5.6337738037109375)]","[(0, 6.400476243760851), (1, 6.265700870090061)]","[(0, 5.936119079589844), (1, 5.9830780029296875)]","[(0, 5.237561362130301), (1, 5.103850228445871)]","[(0, 5.7925843132866754), (1, 5.549018859863281)]","[(0, 6.771511622837612), (1, 6.712013244628906)]","[(0, 5.757099628448486), (1, 5.642355442047119)]","[(0, 5.792113622029622), (1, 5.580869674682617)]"
1,"[(0, 5.397743225097656), (1, 5.291365305582683)]","[(0, 5.134031295776367), (1, 4.88551139831543)]","[(0, 5.42537784576416), (1, 5.4348297119140625)]","[(0, 5.063701152801514), (1, 4.681704044342041)]","[(0, 3.613220532735189), (1, 3.283562660217285)]","[(0, 3.8338958740234377), (1, 2.7687763214111327)]","[(0, 5.497229894002278), (1, 5.726917902628581)]","[(0, 5.150314966837565), (1, 3.9793224334716797)]","[(0, 6.029431479317801), (1, 4.907132829938616)]","[(0, 6.632745742797852), (1, 6.297276020050049)]","[(0, 7.118169996473524), (1, 7.43377685546875)]","[(0, 6.59319087437221), (1, 5.449503217424665)]","[(0, 7.737645929509943), (1, 8.01249972256747)]","[(0, 5.722753312852648), (1, 5.909017774793837)]","[(0, 6.751667022705078), (1, 6.165443420410156)]","[(0, 5.94671006636186), (1, 5.923267711292613)]","[(0, 5.82961188422309), (1, 5.704624599880642)]","[(0, 5.686829566955566), (1, 5.897433280944824)]","[(0, 5.682115173339843), (1, 5.4032135009765625)]","[(0, 5.185575485229492), (1, 5.266173839569092)]","[(0, 5.828952789306641), (1, 5.629601001739502)]","[(0, 5.79267692565918), (1, 5.678956031799316)]","[(0, 7.160420735677083), (1, 7.016153971354167)]"
2,"[(0, 5.279299599783761), (1, 5.239952632359096)]","[(0, 5.23626168568929), (1, 4.980659484863281)]","[(0, 5.648291110992432), (1, 5.67188835144043)]","[(0, 5.395869255065918), (1, 5.131080627441406)]","[(0, 4.494019031524658), (1, 4.1471991539001465)]","[(0, 3.7425104777018228), (1, 2.9104315439860025)]","[(0, 5.2370179494222), (1, 4.957937558492024)]","[(0, 5.196667989095052), (1, 5.1020816167195635)]","[(0, 6.503218514578683), (1, 6.072193690708706)]","[(0, 5.9217376708984375), (1, 6.5918965339660645)]","[(0, 7.241635322570801), (1, 7.15524959564209)]","[(0, 6.808979034423828), (1, 5.495903015136719)]","[(0, 7.123585094105113), (1, 7.256285927512429)]","[(0, 6.14913593639027), (1, 6.021018981933594)]","[(0, 6.800034956498579), (1, 6.080021944912997)]","[(0, 5.845289018419054), (1, 5.333147260877821)]","[(0, 7.180386861165364), (1, 7.031386905246311)]","[(0, 5.369214057922363), (1, 5.38606071472168)]","[(0, 5.439006260463169), (1, 5.35284423828125)]","[(0, 6.32557487487793), (1, 5.54093869527181)]","[(0, 6.223502159118652), (1, 6.078871726989746)]","[(0, 6.5762524074978295), (1, 6.458015865749783)]","[(0, 5.957796732584636), (1, 6.22247314453125)]"
3,"[(0, 5.698459625244141), (1, 5.388986587524414)]","[(0, 5.074693361918132), (1, 4.833405176798503)]","[(0, 5.491826057434082), (1, 5.540369033813477)]","[(0, 5.294260025024414), (1, 4.987639427185059)]","[(0, 5.907684326171875), (1, 5.587762015206473)]","[(0, 5.876302719116211), (1, 4.891339619954427)]","[(0, 5.478165762765067), (1, 5.702827998570034)]","[(0, 6.208230336507161), (1, 4.989172299702962)]","[(0, 7.125312260219029), (1, 5.563144138881138)]","[(0, 6.265697479248047), (1, 5.962512969970703)]","[(0, 7.327417161729601), (1, 7.171226501464844)]","[(0, 6.530696323939732), (1, 5.819728306361607)]","[(0, 7.16611064564098), (1, 7.287967335094105)]","[(0, 6.066084671020508), (1, 5.920442962646485)]","[(0, 7.071308482776988), (1, 6.2658608176491475)]","[(0, 5.64886474609375), (1, 5.902833557128906)]","[(0, 6.5826466878255205), (1, 6.473468356662327)]","[(0, 5.918105602264404), (1, 5.993691444396973)]","[(0, 4.565880966186524), (1, 4.22330322265625)]","[(0, 6.025285085042317), (1, 5.929434967041016)]","[(0, 5.922911749945746), (1, 5.795775519476996)]","[(0, 6.455099741617839), (1, 6.238535563151042)]","[(0, 6.291344324747722), (1, 6.747480392456055)]"
4,"[(0, 4.228292147318522), (1, 3.9052162170410156)]","[(0, 5.045931180318196), (1, 5.273067474365234)]","[(0, 5.694471836090088), (1, 5.754064083099365)]","[(0, 5.341019153594971), (1, 5.026371479034424)]","[(0, 5.570588248116629), (1, 5.3080547877720425)]","[(0, 4.673058986663818), (1, 4.106624603271484)]","[(0, 7.561944689069476), (1, 7.441346849714007)]","[(0, 5.383079528808594), (1, 4.633486111958821)]","[(0, 6.453956604003906), (1, 5.394118172781808)]","[(0, 5.992318725585937), (1, 5.430845642089844)]","[(0, 6.939527893066407), (1, 7.035742950439453)]","[(0, 7.0015138898577005), (1, 5.818890707833426)]","[(0, 7.073670705159505), (1, 7.081179300944011)]","[(0, 5.732257461547851), (1, 5.547312545776367)]","[(0, 7.088435363769531), (1, 6.577873992919922)]","[(0, 4.9369305201939175), (1, 4.918451036725726)]","[(0, 6.4112964206271705), (1, 6.305979410807292)]","[(0, 5.473192850748698), (1, 5.422939724392361)]","[(0, 5.49261474609375), (1, 5.3992734636579245)]","[(0, 6.305161794026692), (1, 5.841314951578776)]","[(0, 5.693606482611762), (1, 5.515401628282335)]","[(0, 6.128214094373915), (1, 5.823069254557292)]","[(0, 6.602232615152995), (1, 7.417276170518663)]"
5,"[(0, 5.489612579345703), (1, 5.398536682128906)]","[(0, 4.941729545593262), (1, 5.166074117024739)]","[(0, 5.594953536987305), (1, 5.638596534729004)]","[(0, 5.40554666519165), (1, 5.1336140632629395)]","[(0, 4.827473958333333), (1, 4.419058481852214)]","[(0, 4.958412170410156), (1, 4.184042249407087)]","[(0, 6.061426162719727), (1, 6.151913166046143)]","[(0, 6.232965469360352), (1, 5.5822499593098955)]","[(0, 7.029233115059989), (1, 5.938810076032366)]","[(0, 6.6059064865112305), (1, 6.442257404327393)]","[(0, 6.92726469039917), (1, 6.922035217285156)]","[(0, 6.434730529785156), (1, 5.502037593296596)]","[(0, 7.0991342717951), (1, 7.185049577192827)]","[(0, 5.622666676839192), (1, 5.743334452311198)]","[(0, 7.048126220703125), (1, 6.603993988037109)]","[(0, 5.217801570892334), (1, 5.011021614074707)]","[(0, 5.998327043321398), (1, 5.858422173394097)]","[(0, 5.7062788009643555), (1, 5.579984188079834)]","[(0, 5.837984848022461), (1, 5.488065719604492)]","[(0, 6.276076180594308), (1, 6.325888442993164)]","[(0, 5.135393354627821), (1, 5.0108388264973955)]","[(0, 6.328199598524305), (1, 6.007899814181858)]","[(0, 5.464437484741211), (1, 5.4869944254557295)]"
6,"[(0, 5.1980165754045755), (1, 5.171163831438337)]","[(0, 4.964373270670573), (1, 5.2677914301554365)]","[(0, 5.8567376136779785), (1, 5.870152950286865)]","[(0, 4.957393646240234), (1, 4.662242412567139)]","[(0, 3.567834218343099), (1, 3.872528394063314)]","[(0, 4.7977093287876675), (1, 4.10827500479562)]","[(0, 6.166590690612793), (1, 6.149279594421387)]","[(0, 6.418628056844075), (1, 5.261791865030925)]","[(0, 6.403901236397879), (1, 5.8454404558454245)]","[(0, 5.995384216308594), (1, 6.025516510009766)]","[(0, 6.830723571777344), (1, 6.869628143310547)]","[(0, 7.41924558367048), (1, 6.545714242117746)]","[(0, 6.496276092529297), (1, 6.850993347167969)]","[(0, 6.892046148126775), (1, 6.978062716397372)]","[(0, 7.435842895507813), (1, 6.555299377441406)]","[(0, 6.801745414733887), (1, 6.697327613830566)]","[(0, 6.767249213324653), (1, 6.870252397325304)]","[(0, 5.562861919403076), (1, 5.594091892242432)]","[(0, 4.674256896972656), (1, 4.490597915649414)]","[(0, 5.99607785542806), (1, 5.757099151611328)]","[(0, 5.764413833618164), (1, 5.817298412322998)]","[(0, 6.196216583251953), (1, 5.948882102966309)]","[(0, 6.069182925754124), (1, 5.842512766520183)]"
7,"[(0, 5.62879753112793), (1, 5.395318349202474)]","[(0, 4.859263737996419), (1, 5.115648905436198)]","[(0, 5.745668411254883), (1, 5.736538887023926)]","[(0, 5.671098709106445), (1, 5.927730083465576)]","[(0, 3.0289535522460938), (1, 3.3334935506184897)]","[(0, 4.297549438476563), (1, 3.1078697204589845)]","[(0, 6.17414665222168), (1, 6.2494001388549805)]","[(0, 5.86117680867513), (1, 3.977064768473307)]","[(0, 6.9400634765625), (1, 5.6579437255859375)]","[(0, 5.734209060668945), (1, 5.786705493927002)]","[(0, 6.874226093292236), (1, 6.867893218994141)]","[(0, 6.386653355189732), (1, 5.55235835484096)]","[(0, 6.622359535910866), (1, 7.052980596368963)]","[(0, 7.144868469238281), (1, 7.046387481689453)]","[(0, 7.276814270019531), (1, 6.389883422851563)]","[(0, 6.666178809271918), (1, 6.770967271592882)]","[(0, 6.317975362141927), (1, 6.366854773627387)]","[(0, 5.281290531158447), (1, 5.599762916564941)]","[(0, 4.242650985717773), (1, 3.9683082580566404)]","[(0, 6.174191792805989), (1, 5.9159492492675785)]","[(0, 5.862044440375434), (1, 5.736365000406901)]","[(0, 5.76366662979126), (1, 5.450802326202393)]","[(0, 6.844344668918186), (1, 7.578928629557292)]"
8,"[(0, 4.128158887227376), (1, 4.214257558186849)]","[(0, 5.648183822631836), (1, 5.655286153157552)]","[(0, 5.594106197357178), (1, 5.492161750793457)]","[(0, 4.722879886627197), (1, 5.063615322113037)]","[(0, 3.9311938285827637), (1, 4.258766174316406)]","[(0, 4.377608871459961), (1, 3.3109169006347656)]","[(0, 5.938372294108073), (1, 5.811048295762804)]","[(0, 6.212746938069661), (1, 5.538300196329753)]","[(0, 6.269047328404018), (1, 5.288553510393415)]","[(0, 4.508586120605469), (1, 4.5983325958251955)]","[(0, 6.109041387384588), (1, 6.167970830743963)]","[(0, 6.592810494559152), (1, 5.574466160365513)]","[(0, 7.821579673073509), (1, 7.99490703235973)]","[(0, 6.019744873046875), (1, 6.073230396617543)]","[(0, 6.674271901448567), (1, 6.195237053765191)]","[(0, 6.972228458949497), (1, 6.849404471261161)]","[(0, 6.147965749104817), (1, 6.164076063368055)]","[(0, 5.0630598068237305), (1, 5.149843215942383)]","[(0, 5.794623851776123), (1, 5.6196370124816895)]","[(0, 6.203272819519043), (1, 5.833344459533691)]","[(0, 5.770075903998481), (1, 5.689306471082899)]","[(0, 5.958316802978516), (1, 5.707270622253418)]","[(0, 5.726970672607422), (1, 5.996259689331055)]"
9,"[(0, 5.5722707112630205), (1, 5.516651789347331)]","[(0, 5.560909907023112), (1, 5.471642176310222)]","[(0, 5.842741012573242), (1, 5.754972457885742)]","[(0, 5.15773868560791), (1, 5.377289772033691)]","[(0, 5.378162928989956), (1, 5.68944331577846)]","[(0, 4.294893582661946), (1, 3.4656365712483725)]","[(0, 5.672146691216363), (1, 5.8614145914713545)]","[(0, 6.436562220255534), (1, 4.598794937133789)]","[(0, 6.008053370884487), (1, 5.289682115827288)]","[(0, 5.860206127166748), (1, 5.918814659118652)]","[(0, 6.003078460693359), (1, 6.0923112233479815)]","[(0, 6.564728873116629), (1, 5.236961364746094)]","[(0, 8.02735762162642), (1, 8.198646545410156)]","[(0, 6.354596710205078), (1, 6.107637786865235)]","[(0, 6.8541454739040795), (1, 6.286175198025173)]","[(0, 6.921830177307129), (1, 6.853526592254639)]","[(0, 5.652910868326823), (1, 5.605717129177517)]","[(0, 5.692493915557861), (1, 5.826489448547363)]","[(0, 6.132778712681362), (1, 5.627032143729074)]","[(0, 5.467064380645752), (1, 5.7040508815220425)]","[(0, 5.5070640563964846), (1, 5.4084522247314455)]","[(0, 6.039498805999756), (1, 5.817699432373047)]","[(0, 6.472754584418403), (1, 6.324593861897786)]"
