,epoch_5
adjunct_island,0.558
anaphor_gender_agreement,0.695
anaphor_number_agreement,0.596
animate_subject_passive,0.589
animate_subject_trans,0.404
causative,0.432
complex_NP_island,0.357
coordinate_structure_constraint_complex_left_branch,0.481
coordinate_structure_constraint_object_extraction,0.445
determiner_noun_agreement_1,0.521
determiner_noun_agreement_2,0.49
determiner_noun_agreement_irregular_1,0.473
determiner_noun_agreement_irregular_2,0.531
determiner_noun_agreement_with_adj_2,0.473
determiner_noun_agreement_with_adj_irregular_1,0.494
determiner_noun_agreement_with_adj_irregular_2,0.537
determiner_noun_agreement_with_adjective_1,0.491
distractor_agreement_relational_noun,0.477
distractor_agreement_relative_clause,0.523
drop_argument,0.566
ellipsis_n_bar_1,0.315
ellipsis_n_bar_2,0.342
existential_there_object_raising,0.711
existential_there_quantifiers_1,0.76
existential_there_quantifiers_2,0.697
existential_there_subject_raising,0.584
expletive_it_object_raising,0.662
inchoative,0.324
intransitive,0.404
irregular_past_participle_adjectives,0.269
irregular_past_participle_verbs,0.805
irregular_plural_subject_verb_agreement_1,0.529
irregular_plural_subject_verb_agreement_2,0.495
left_branch_island_echo_question,0.551
left_branch_island_simple_question,0.575
matrix_question_npi_licensor_present,0.131
npi_present_1,0.295
npi_present_2,0.258
only_npi_licensor_present,0.212
only_npi_scope,0.481
passive_1,0.643
passive_2,0.61
principle_A_c_command,0.466
principle_A_case_1,1.0
principle_A_case_2,0.421
principle_A_domain_1,1.0
principle_A_domain_2,0.443
principle_A_domain_3,0.531
principle_A_reconstruction,0.269
regular_plural_subject_verb_agreement_1,0.469
regular_plural_subject_verb_agreement_2,0.457
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.805
sentential_subject_island,0.519
superlative_quantifiers_1,0.509
superlative_quantifiers_2,0.225
tough_vs_raising_1,0.439
tough_vs_raising_2,0.599
transitive,0.616
wh_island,0.916
wh_questions_object_gap,0.672
wh_questions_subject_gap,0.966
wh_questions_subject_gap_long_distance,0.878
wh_vs_that_no_gap,0.939
wh_vs_that_no_gap_long_distance,0.94
wh_vs_that_with_gap,0.079
wh_vs_that_with_gap_long_distance,0.079
